"Titre","Auteur","Prenom","Nom","Date_creation","Dates_naissance_deces_artiste","Lieu_naissance","Date_naissance","Lieu_deces","Date_deces","Domaine","id_domaine","Technique","Dimensions","Dimensions_split_1","DimX","DimY","DimZ","Annee_acquisition","Type_acquisition","Type_acquisition_copy","Précisions_acquisition","No_inventaire","Lien_Navigart"
"Saint Donatien tenant une croix dans la main gauche","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","s.d.","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","sanguine","28 x 20 cm","28 x 20 ","28 "," 20 ","","0","Legs","4","Legs","1448","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007365"
"Un lutteur courant vers la gauche, bras gauche étendu","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb, trait au lavis sur papier calque","17,4 x 12,2 cm","17,4 x 12,2 ","17,4 "," 12,2 ","","0","Inconnu","0","Acquisition","5023","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067488"
"Homme combattant","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Encre sur  papier pelure blanc","15,5 x 8,3 cm","15,5 x 8,3 ","15,5 "," 8,3 ","","0","Inconnu","0","Acquisition","3912","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064741"
"Paysage : crique rocheuse","Luc-Olivier MERSON","Luc-Olivier","MERSON","s.d.","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Dessin","3","Pierre noire, rehauts de craie blanche sur papier bleu","24,9 x 38,8 cm","24,9 x 38,8 ","24,9 "," 38,8 ","","1983","Achat","3","Achat à M. Philippe Merson en 1983","983.21.66.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003922"
"Etude d'arbre fruitier en fleurs","Luc-Olivier MERSON","Luc-Olivier","MERSON","s.d.","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Dessin","3","Mine de plomb et rehauts de craie blanche et verte sur papier gris","23,5 x 28,8 cm","23,5 x 28,8 ","23,5 "," 28,8 ","","0","Inconnu","0","Acquisition","2016.0.55.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000144284"
"Le chasseur au bord de l'eau","Emmanuel PHELIPPES-BEAULIEUX","Emmanuel","PHELIPPES-BEAULIEUX","22 août 1866","Nantes (Loire-Atlantique), 1819 - Nantes (Loire-Atlantique), 1874","Nantes (Loire-Atlantique)"," 1819 "," Nantes (Loire-Atlantique)"," 1874","Estampe","4","Eau-forte sur papier","10,2 x 5,7 cm","10,2 x 5,7 ","10,2 "," 5,7 ","","1948","Don","1","Don de M. Michel Noury en 1948","3528","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005869"
"La sainte Famille aux cerfs","Rodolphe BRESDIN","Rodolphe","BRESDIN","1871","Montrelais (Loire-Atlantique), 1822 - Sèvres (Hauts-de-Seine), 1885","Montrelais (Loire-Atlantique)"," 1822 "," Sèvres (Hauts-de-Seine)"," 1885","Estampe","4","Lithographie sur papier contrecollé sur papier","43,3 x 32,4 cm26,1 x 20,1 cm (hors marge)","43,3 x 32,4 ","43,3 "," 32,4 ","","2007","Don","1","Donation de Madame Gallico-Bresdin en 2007","07.1.17.E","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007330"
"Esquisse Sainte Geneviève","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Crayon noir et blanc sur calque","34,8 x 19,5 cm","34,8 x 19,5 ","34,8 "," 19,5 ","","1892","Legs","4","Legs de L. Delaunay en 1892","1453","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007033"
"David, de 3/4, marche en tenant à bout de bras la tête de Goliath","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain sur papier","32 x 25 cm","32 x 25 ","32 "," 25 ","","0","Inconnu","0","Acquisition","5439","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068884"
"Bûcherons abattant un arbre","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb","23,8 x 17,4 cm","23,8 x 17,4 ","23,8 "," 17,4 ","","1897","Legs","4","Legs de L. Delaunay en 1897","4038","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007044"
"Paysage","Alexandre Jean HESSE","Alexandre Jean","HESSE","s.d.","Paris (France), 1806 - Paris (France), 1879","Paris (France)"," 1806 "," Paris (France)"," 1879","Peinture","2","Etude de paysage d'après nature : rochers ; forêt à l'arrière-plan - Esquisse.Huile sur toile","20 x 38,4 cm","20 x 38,4 ","20 "," 38,4 ","","1885","Legs","4","Legs de M. Paul Aubry en 1885","1025","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004196"
"Le Maréchal Ney, le 7 décembre 1815","Henri Alfred Marie JACQUEMART","Henri Alfred Marie","JACQUEMART","1868","Paris (France), 1824 - Paris (France), 1896","Paris (France)"," 1824 "," Paris (France)"," 1896","Sculpture","1","StatuePlâtre","220 x 88 x 71 cm","220 x 88 x 71 ","220 "," 88 "," 71 ","1886","Don","1","Don de l'artiste en 1886","1806","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005122"
"Sucé, le vieux village","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1914","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Eau-forte sur papier","23,1 x 25,5 cm12,9 x 18,8 cm (hors marge)","23,1 x 25,5 ","23,1 "," 25,5 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3643(3)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082470"
"Homme couché, tête en arrière","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb","20,1 x 17 cm","20,1 x 17 ","20,1 "," 17 ","","0","Inconnu","0","Acquisition","5377","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068827"
"Personnage étendu le côté, tête à droite, posée sur un socle, drapé dans son manteau","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","27 x 19 cm","27 x 19 ","27 "," 19 ","","0","Inconnu","0","Acquisition","5387","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068833"
"Apollon couronné, une déesse tient la harpe","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb, fusain et craie sur papier calque","32,3 x 57,5 cm","32,3 x 57,5 ","32,3 "," 57,5 ","","0","Inconnu","0","Acquisition","5603","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069495"
"Un des personnages du groupe des deux jeunes, nu, de 3/4, jambe droite en avant","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume et mine de plomb sur papier","44,5 x 28 cm","44,5 x 28 ","44,5 "," 28 ","","0","Inconnu","0","Acquisition","4963","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067427"
"Un disciple, debout tête levée, regardant ""L'Assomption de la Vierge""","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain sur papier","43,5 x 28,2 cm","43,5 x 28,2 ","43,5 "," 28,2 ","","0","Inconnu","0","Acquisition","5474","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068920"
"Le prophète Isaïe","Pietro VANNUCCI","Pietro","VANNUCCI","s.d.","Castello della Pieve (Italie), 1450? - Fontignano (Italie), 1523","Castello della Pieve (Italie)"," 1450? "," Fontignano (Italie)"," 1523","Peinture","2","Peinture, TondoBois transposé sur toile","diamètre: 127 cm","diamètre: 127 ","diamètre: 127 ","","","0","Dépôt","2","AcquisitionEtatDépôt au Musée des Beaux-Arts de Nantes en 1809","118","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004510"
"Les Oies","Emilio VASARRI","Emilio","VASARRI","vers 1908","Montevarchi (Italie), 1862 - Montevarchi (Italie), 1931","Montevarchi (Italie)"," 1862 "," Montevarchi (Italie)"," 1931","Peinture","2","Huile sur toile","75.5 x 130.5 x 2.5 cm","75.5 x 130.5 x 2.5 ","75.5 "," 130.5 "," 2.5 ","1908","Legs","4","Legs Collection Aristide David et fils en 1908","1208","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003518"
"Tête de femme","Louis-Marie DOYEN","Louis-Marie","DOYEN","avant 1908","Attigny (Ardennes), 1864 - Ile-de-France, 1943","Attigny (Ardennes)"," 1864 "," Ile-de-France"," 1943","Peinture","2","De face, vêtue de noirHuile sur toile","41,1 x 32,6 x 1 cm","41,1 x 32,6 x 1 ","41,1 "," 32,6 "," 1 ","1908","Legs","4","Legs Collection Aristide David et fils en 1908","943","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001703"
"Etude d'églantiers et de lierre","Luc-Olivier MERSON","Luc-Olivier","MERSON","s.d.","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Dessin","3","Pierre noire et rehauts de craie blanche sur papier bleu","32,7 x 44 cm","32,7 x 44 ","32,7 "," 44 ","","0","Inconnu","0","Acquisition","2016.0.18.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143806"
"Ange volant (étude pour le carton de la tapisserie de La Haye)","Luc-Olivier MERSON","Luc-Olivier","MERSON","s.d.","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Dessin","3","Pierre noire, craie blanche, technique de report sur papier brun","36,5 x 43,2 cm","36,5 x 43,2 ","36,5 "," 43,2 ","","1924","Don","1","Don en 1924","2413(2)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000084137"
"Les Bords de l'Orne (Lorraine)","Emile-François MICHEL","Emile-François","MICHEL","1854","Metz (Moselle), 1818 - Paris (France), 1909","Metz (Moselle)"," 1818 "," Paris (France)"," 1909","Peinture","2","Au premier plan, une gardeuse d'oies, au bord de la rivière, qui s'en va vers l'horizon fermé d'une colline.Huile sur toile","47,4 x 72,6 cm","47,4 x 72,6 ","47,4 "," 72,6 ","","1854","Achat","3","Achat en 1854","1105","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004246"
"L'orage","Jean-Emile LABOUREUR","Jean-Emile","LABOUREUR","s.d.","Nantes (Loire-Atlantique), 1877 - Pénestin (Morbihan), 1943","Nantes (Loire-Atlantique)"," 1877 "," Pénestin (Morbihan)"," 1943","Estampe","4","Burin","27,8 x 25,1 cm17,5 x 15,7 cm (hors marge)","27,8 x 25,1 ","27,8 "," 25,1 ","","1928","Achat","3","Achat à l'artiste en 1928","2542","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002230"
"Maison de la Reine Blanche","Auguste Louis LEPÈRE","Auguste Louis","LEPÈRE","XIXe siècle","Paris (France), 1849 - Domme (Dordogne), 1918","Paris (France)"," 1849 "," Domme (Dordogne)"," 1918","Dessin","3","Pierre noire, plume, encre, lavis, aquarelle et rehaus de craie blanche sur papier vergé contrecollé sur papier","23 x 21,5 cm","23 x 21,5 ","23 "," 21,5 ","","1902","Don","1","Don de M. Lotz-Brissonneau en 1902","1553","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008062"
"Jésus et la Samaritaine","Emmanuel PHELIPPES-BEAULIEUX","Emmanuel","PHELIPPES-BEAULIEUX","1856","Nantes (Loire-Atlantique), 1819 - Nantes (Loire-Atlantique), 1874","Nantes (Loire-Atlantique)"," 1819 "," Nantes (Loire-Atlantique)"," 1874","Estampe","4","Eau-forte sur papier","24,5 x 19,5 cm","24,5 x 19,5 ","24,5 "," 19,5 ","","1948","Don","1","Don de M. Michel Noury en 1948","3435","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005776"
"Une maison","René PINARD","René","PINARD","1898","Nantes (Loire-Atlantique), 1883 - Paris (France), 1938","Nantes (Loire-Atlantique)"," 1883 "," Paris (France)"," 1938","Dessin","3","Mine graphite sur papier canson","16,1 x 24,9 cm","16,1 x 24,9 ","16,1 "," 24,9 ","","1938","Don","1","Don de l'artiste en 1938","3322","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003091"
"Le Serment de Brutus. Brutus à droite","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume sur papier calque","9,9 x 12,5 cm","9,9 x 12,5 ","9,9 "," 12,5 ","","0","Inconnu","0","Acquisition","5104","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068222"
"Femme nue, de face, bras écartés, tête un peu baissée","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","31 x 19,5 cm","31 x 19,5 ","31 "," 19,5 ","","0","Inconnu","0","Acquisition","5204","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068419"
"Conversion de sainte Marie-Madeleine","Jean-Hilaire BELLOC","Jean-Hilaire","BELLOC","avant 1842","Nantes (Loire-Atlantique), 1786 - Paris (France), 1866","Nantes (Loire-Atlantique)"," 1786 "," Paris (France)"," 1866","Peinture","2","Huile sur toile","260,5 x 195,7 cm","260,5 x 195,7 ","260,5 "," 195,7 ","","1867","Dépôt","2","Acquisition en 1867Fonds national d'art contemporainDépôt au Musée des Beaux-Arts de Nantes","806 [n° inv. déposant ou prêteur]","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004045"
"Etude de nu : petit garçon trois quarts de dos","Luc-Olivier MERSON","Luc-Olivier","MERSON","s.d.","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Dessin","3","Pierre noire et rehauts de craie blanche sur papier calque contrecollé sur papier contrecollé sur carton vert","36,7 x 17,1 cm","36,7 x 17,1 ","36,7 "," 17,1 ","","1983","Achat","3","Achat à M. Philippe Merson en 1983","983.21.9.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003801"
"Pointe de Saint-Gildas","René PINARD","René","PINARD","1900","Nantes (Loire-Atlantique), 1883 - Paris (France), 1938","Nantes (Loire-Atlantique)"," 1883 "," Paris (France)"," 1938","Dessin","3","Mine de plomb, craie blanche sur papier","24,9 x 32,6 cm","24,9 x 32,6 ","24,9 "," 32,6 ","","1938","Don","1","Don de l'artiste en 1938","3331","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003100"
"Bohémiens","Jacques CALLOT","Jacques","CALLOT","s.d.","Nancy (Meurthe-et-Moselle), 1592 - Nancy (Meurthe-et-Moselle), 1635","Nancy (Meurthe-et-Moselle)"," 1592 "," Nancy (Meurthe-et-Moselle)"," 1635","Estampe","4","Eau-forte sur papier","12,2 x 23,6 cm","12,2 x 23,6 ","12,2 "," 23,6 ","","0","Inconnu","0","Acquisition","3560","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000101099"
"La maison du petit bois","Emmanuel PHELIPPES-BEAULIEUX","Emmanuel","PHELIPPES-BEAULIEUX","23 mai 1863","Nantes (Loire-Atlantique), 1819 - Nantes (Loire-Atlantique), 1874","Nantes (Loire-Atlantique)"," 1819 "," Nantes (Loire-Atlantique)"," 1874","Estampe","4","Eau-forte sur papier","1,1 x 2 cm","1,1 x 2 ","1,1 "," 2 ","","1948","Don","1","Don de M. Michel Noury en 1948","3492","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005833"
"Etude pour César","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","19,5 x 15,5 cm","19,5 x 15,5 ","19,5 "," 15,5 ","","0","Inconnu","0","Acquisition","4364","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065197"
"Etude du nautonier de gauche","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","19,7 x 15,5 cm","19,7 x 15,5 ","19,7 "," 15,5 ","","0","Inconnu","0","Acquisition","4374","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065221"
"Le parasol","Emmanuel PHELIPPES-BEAULIEUX","Emmanuel","PHELIPPES-BEAULIEUX","26 juin 1863","Nantes (Loire-Atlantique), 1819 - Nantes (Loire-Atlantique), 1874","Nantes (Loire-Atlantique)"," 1819 "," Nantes (Loire-Atlantique)"," 1874","Estampe","4","Eau-forte sur papier","12 x 7,3 cm","12 x 7,3 ","12 "," 7,3 ","","1948","Don","1","Don de M. Michel Noury en 1948","3498","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005839"
"Le héron","Emmanuel PHELIPPES-BEAULIEUX","Emmanuel","PHELIPPES-BEAULIEUX","17 août 1866","Nantes (Loire-Atlantique), 1819 - Nantes (Loire-Atlantique), 1874","Nantes (Loire-Atlantique)"," 1819 "," Nantes (Loire-Atlantique)"," 1874","Estampe","4","Eau-forte sur papier","10,2 x 5,2 cm","10,2 x 5,2 ","10,2 "," 5,2 ","","1948","Don","1","Don de M. Michel Noury en 1948","3530","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005871"
"La Samaritaine","Rudolph ERNST","Rudolph","ERNST","avant 1908","Vienne (Autriche), 1854 - Paris (France), 1932","Vienne (Autriche)"," 1854 "," Paris (France)"," 1932","Peinture","2","A la porte d'une ville d'Orient, une femme est assise, à droite ; devant elle, un homme en costume oriental tenant une aiguièreHuile sur bois","61,2 x 49 cm","61,2 x 49 ","61,2 "," 49 ","","1908","Legs","4","Legs Collection Aristide David et fils en 1908","908.1.23.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001773"
"Jeune femme assise","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","s.d.","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Vue de face, la tête couronnée de feuillage, tournée vers la gauche, la jambe droite repliée, la robe serrée à la tailesanguine et crayon blanc","33 x 23 cm","33 x 23 ","33 "," 23 ","","0","Inconnu","0","Acquisition","1449","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007031"
"Carnac","Joseph-Frédéric LAUGÉ","Joseph-Frédéric","LAUGÉ","vers 1880","Nantes (Loire-Atlantique), 1830 - ?, 1914","Nantes (Loire-Atlantique)"," 1830 "," ?"," 1914","Peinture","2","Huile sur toile","65,2 x 81,2 cm","65,2 x 81,2 ","65,2 "," 81,2 ","","1977","Don","1","Don Capitaine Marcel Lhommede. en 1977","977.7.4.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002395"
"Autoportrait à vingt ans","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","1848","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","","31 x 20,5 cm","31 x 20,5 ","31 "," 20,5 ","","0","Inconnu","0","Acquisition","5707","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069756"
"Vue de l'île de Capri","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","septembre 1857","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Aquarelle et mine de plomb - papier blanc","17 x 26,5 cm","17 x 26,5 ","17 "," 26,5 ","","0","Inconnu","0","Acquisition","4512","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007595"
"L'assassinat du duc d'Enghien","Pierre Frédéric Salvi TEYSSONNIÈRES","Pierre Frédéric Salvi","TEYSSONNIÈRES","avant 1874","Albi (Tarn), 1834 - ?, ?","Albi (Tarn)"," 1834 "," ?"," ?","Estampe","4","Pointe sèche","54 x 36,5 cm25,2 x 18,6 cm (hors marge)","54 x 36,5 ","54 "," 36,5 ","","1874","Inconnu","0","Acquisition en 1874","3116","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003432"
"Le couple à la baignade","James TISSOT","James","TISSOT","achevé en 1884","Nantes (Loire-Atlantique), 1836 - Buillon (Doubs), 1902","Nantes (Loire-Atlantique)"," 1836 "," Buillon (Doubs)"," 1902","Estampe","4","Illustration pour un livre Renée Mauperin des GoncourtEau-forte sur papier vergé","14,2 x 10 cm","14,2 x 10 ","14,2 "," 10 ","","1904","Legs","4","Legs de M. Tissot en 1904","3875","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005997"
"Paysage animé","Adriaen van der CABEL","Adriaen van der","CABEL","s.d.","1631? - Lyon (Rhône), 1705","1631? - Lyon (Rhône)"," 1705","","","Peinture","2","Huile sur toile","71,3 x 95,6 cm","71,3 x 95,6 ","71,3 "," 95,6 ","","1810","Achat","3","Achat à M. Cacault en 1810","79","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006292"
"Chloë nue, de face","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","35,5 x 13,9 cm","35,5 x 13,9 ","35,5 "," 13,9 ","","0","Inconnu","0","Acquisition","4845","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067312"
"Stèle romaine : cavalier debout près de son cheval","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","cavalier debout près de son chevalMine de plomb rehaussé de blanc","29,5 x 30,07 cm","29,5 x 30,07 ","29,5 "," 30,07 ","","0","Inconnu","0","Acquisition","3903","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064732"
"Etude d'une femme, même sujet","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb et traits sanguine sur papier calque","31,1 x 15,6 cm","31,1 x 15,6 ","31,1 "," 15,6 ","","0","Inconnu","0","Acquisition","4434","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007162"
"Dieu séparant la terre et l'eau","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume sur papier","30,2 x 23,5 cm","30,2 x 23,5 ","30,2 "," 23,5 ","","0","Inconnu","0","Acquisition","3920","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064749"
"Apollon nu, vu de dos","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain sur papier","36 x 32 cm","36 x 32 ","36 "," 32 ","","0","Inconnu","0","Acquisition","5597","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069489"
"Fontainebleau","Lancelot-Théodore TURPIN DE CRISSE","Lancelot-Théodore TURPIN DE","CRISSE","1848","Paris (France), 1782 - Paris (France), 1859","Paris (France)"," 1782 "," Paris (France)"," 1859","Dessin","3","plume et lavis","51,2 x 72,4 cm46,5 x 63,7 cm (hors marge)","51,2 x 72,4 ","51,2 "," 72,4 ","","0","Legs","4","Legs","1658","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006996"
"Femme debout, de face, tournée vers la gauche, bras gauche allongé, tient un lion","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Sanguine","49,5 x 17,5 cm","49,5 x 17,5 ","49,5 "," 17,5 ","","0","Inconnu","0","Acquisition","6087","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069838"
"Etude de la mise en place des trois pélerins attablés","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","11 x 17,6 cm","11 x 17,6 ","11 "," 17,6 ","","0","Inconnu","0","Acquisition","4298","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007129"
"Portrait du père de l'artiste","Jacques PHILIPPE","Jacques","PHILIPPE","s.d.","Nantes (Loire-Atlantique), 1914 - Gravelines (Nord), 1940","Nantes (Loire-Atlantique)"," 1914 "," Gravelines (Nord)"," 1940","Peinture","2","Huile sur carton","75,5 x 52,7 cm","75,5 x 52,7 ","75,5 "," 52,7 ","","1978","Don","1","Don de Pierre et Jehanne Philippe en 1978","978.9.1.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003059"
"Le Prophète Daniel","Jules-Claude ZIEGLER","Jules-Claude","ZIEGLER","vers 1838","Langres (Haute-Marne), 1804 - Paris (France), 1856","Langres (Haute-Marne)"," 1804 "," Paris (France)"," 1856","Peinture","2","Huile sur toile","293 x 213 cm","293 x 213 ","293 "," 213 ","","1838","Achat","3","Achat en salon à l'artiste en 1838","1238","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004327"
